2019/03/18 08:46:44 CET Importing files from project directory C:/WCs/ESDBusinessDevelopment/Product_Input/DemoModels/AdaptiveCruiseControl
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\ACC_System_If__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/ACC_System_If__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/Unittest_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\ACCEnums.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\ACC_Parameters.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\UnitTestMessages.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_45_SWArchitectureAnalysis\Testgen_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/ACCEnums.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/ACC_Parameters.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_45_SWArchitectureAnalysis\___TriggerInfo.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\ACC_Architecture__impl.h:9:10: fatal error: 'stdbool.h' file not found
